Dia,Mes,Anno,T Min,Promedio,T Max
23,1,2019,11,17,25
24,1,2019,9,17,25
25,1,2019,9,18,25
26,1,2019,8,17,24
27,1,2019,10,15,19
28,1,2019,6,14,23
29,1,2019,7,15,22
30,1,2019,10,17,23
31,1,2019,10,16,24
1,2,2019,8,16,23
2,2,2019,8,16,23
3,2,2019,7,17,26
4,2,2019,9,17,25
5,2,2019,10,18,25
6,2,2019,12,20,28
7,2,2019,11,19,27
8,2,2019,12,17,24
9,2,2019,7,14,22
10,2,2019,7,15,23
11,2,2019,8,17,25
12,2,2019,11,17,21
13,2,2019,8,15,21
14,2,2019,11,17,24
15,2,2019,13,20,27
16,2,2019,12,21,28
17,2,2019,15,22,28
18,2,2019,12,21,30
19,2,2019,14,21,27
20,2,2019,13,20,27
21,2,2019,14,20,26
22,2,2019,11,19,26
23,2,2019,12,19,25
24,2,2019,14,19,24
25,2,2019,10,16,23
26,2,2019,10,17,25
27,2,2019,10,18,26
28,2,2019,10,19,27
1,3,2019,12,20,27
2,3,2019,13,20,28
3,3,2019,12,21,28
4,3,2019,13,20,26
5,3,2019,12,18,27
6,3,2019,10,17,26
7,3,2019,12,20,28
8,3,2019,13,20,27
9,3,2019,14,21,27
10,3,2019,15,22,27
11,3,2019,15,22,29
12,3,2019,11,21,30
13,3,2019,13,22,29
14,3,2019,12,20,28
15,3,2019,13,20,26
16,3,2019,9,17,24
17,3,2019,12,17,23
18,3,2019,10,18,24
19,3,2019,8,17,25
20,3,2019,9,17,25
21,3,2019,10,17,23
22,3,2019,9,17,24
23,3,2019,10,17,25
24,3,2019,11,19,26
25,3,2019,12,20,27
26,3,2019,8,18,26
27,3,2019,8,17,26
28,3,2019,8,18,26
29,3,2019,10,20,29
30,3,2019,15,21,28
31,3,2019,16,21,26
1,4,2019,14,21,26
2,4,2019,12,20,27
3,4,2019,15,21,26
4,4,2019,14,20,26
5,4,2019,14,20,24
6,4,2019,14,19,24
7,4,2019,12,20,27
8,4,2019,13,19,24
9,4,2019,11,16,23
10,4,2019,10,18,27
11,4,2019,15,22,28
12,4,2019,15,21,28
13,4,2019,14,21,28
14,4,2019,10,20,28
15,4,2019,10,20,28
16,4,2019,16,22,29
17,4,2019,17,23,29
18,4,2019,17,23,30
19,4,2019,12,19,28
20,4,2019,9,18,26
21,4,2019,14,21,29
22,4,2019,15,22,29
23,4,2019,14,21,28
24,4,2019,14,21,28
25,4,2019,13,22,29
26,4,2019,13,21,26
27,4,2019,11,20,27
28,4,2019,16,22,27
29,4,2019,15,20,26
30,4,2019,13,19,27
1,5,2019,12,19,29
2,5,2019,16,21,28
3,5,2019,16,21,28
4,5,2019,17,22,28
5,5,2019,17,22,28
6,5,2019,15,21,27
7,5,2019,12,22,29
8,5,2019,16,23,29
9,5,2019,16,23,29
10,5,2019,16,23,29
11,5,2019,14,22,29
12,5,2019,16,23,29
13,5,2019,16,23,29
14,5,2019,14,23,30
15,5,2019,15,22,29
16,5,2019,11,20,27
17,5,2019,13,19,25
18,5,2019,16,22,28
19,5,2019,16,22,29
20,5,2019,18,23,29
21,5,2019,17,23,30
22,5,2019,14,21,29
23,5,2019,16,23,29
24,5,2019,15,20,26
25,5,2019,16,21,28
